UNITID,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL,NPCURL,HCM2,PREDDEG,CONTROL,LOCALE,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,RELAFFIL,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,CURROPER,NPT4_PUB-AVERAGE-ANNUAL-COST,NPT4_PRIV,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP-REPORTED-GRAD-RATE,C200_L4_POOLED_SUPP,med_earnings_10yrs,gt_25k_p6,high_earning,prgm_prct_stem,ind_z_pre,ind_z_post,ind_z_shift
156365,195900,1959,Campbellsville University,Campbellsville,KY,www.campbellsville.edu,www.campbellsville.edu/net-price-calculator,0,3,PrivateNonProfit,33,0,0,0,0,0,0,0,0,0,75,420,505,400,525,400,520,463,463,460,18,24,18,24,17,24,NULL,NULL,21,21,21,NULL,985,985,0,0,0,0,0.019,0,0.0054,0,0.1653,0,0,0,0.0054,0,0.0163,0.0136,0,0.0434,0.0108,0,0,0.0298,0,0.0894,0.0054,0,0.0569,0.0732,0.0921,0.0515,0,0,0,0,0.0244,0.1274,0.1653,0.0054,0,2213,0.7424,0.1329,0.0163,0.0009,0.0032,0.0009,0.0158,0.0795,0.0081,0.1075,1,NULL,13483,NULL,NULL,NULL,NULL,NULL,12153,12200,14480,14691,16586,0.3799,0.6884,NA,0.4444,NA,0.4725,0.1686,19500,216.489975,0.662626263,0.441241355,NULL,32100,0.475792974,0,0.19240000000000002,-0.08928515626283469,0.08928515626283406,0.17857031252566874
156417,2535600,25356,Clear Creek Baptist Bible College,Pineville,KY,www.ccbbc.edu/,www.ccbbc.edu,0,3,PrivateNonProfit,42,0,0,0,0,0,0,0,0,0,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0.9412,0.0221,0.0221,0.0074,0.0074,0,0,0,0,0.2426,1,NULL,6191,NULL,NULL,NULL,NULL,NULL,6342,5740,NULL,NULL,NULL,0.7586,0.8,NA,0,NA,0,0.6579,NA,NULL,NULL,0.500016667,NULL,27000,0.483333319,0,0,-0.23257501882372197,0.23257501882372197,0.46515003764744395
156541,196200,1962,University of the Cumberlands,Williamsburg,KY,www.ucumberlands.edu,ucumberlands.studentaidcalculator.com/,0,3,PrivateNonProfit,33,0,0,0,0,0,0,0,0,0,54,420,520,440,530,NULL,NULL,470,485,NULL,19,25,19,25,17,24,NULL,NULL,22,22,21,NULL,1019,1019,0,0,0,0,0.0195,0,0,0,0.1563,0.0117,0,0.0039,0,0,0.0234,0.0039,0,0.1523,0.0117,0,0,0.0742,0,0.0352,0.0234,0,0.0586,0.0508,0.0625,0.0156,0,0,0,0,0.0469,0.0469,0.1875,0.0156,0,1545,0.7987,0.0828,0.0233,0.0026,0.0026,0.0006,0.0091,0.0615,0.0188,0.033,1,NULL,17011,NULL,NULL,NULL,NULL,NULL,15067,16186,17013,21125,21778,0.4437,0.5163,NA,NA,NA,0.581,0.2061,21505.5,238.7551363,0.708276798,0.440975422,NULL,33300,0.542039335,0,0.246,-0.06723534724079645,0.06955380749047912,0.13678915473127556
156620,196300,1963,Eastern Kentucky University,Richmond,KY,www.eku.edu,finaid.eku.edu,0,3,Public,32,0,0,0,0,0,0,0,0,0,NULL,440,560,450,550,430,530,500,500,480,19,24,19,24,17,24,6,8,22,22,21,7,1009,1009,0.0145,0.0088,0,0,0.0348,0.0042,0.0054,0,0.1208,0,0.0325,0.0076,0.0187,0.0061,0.0138,0.1025,0,0.0249,0.0031,0,0.005,0.0279,0.0023,0,0.0115,0,0.0489,0.1564,0.0287,0.0367,0,0,0,0.0061,0.0294,0.1564,0.075,0.018,0,13247,0.849,0.0551,0.0181,0.0103,0.0034,0.001,0.0215,0.0201,0.0214,0.173,1,10496,NULL,8119,8826,11849,14082,14556,NULL,NULL,NULL,NULL,NULL,0.4278,0.7149,NA,0.4545,NA,0.5983,0.254,23179.5,257.339968,0.698525674,0.37784775,NULL,33100,0.561315179,0,0.23800000000000002,-0.05194913261982889,0.05194913261982887,0.10389826523965776
157058,196800,1968,Kentucky State University,Frankfort,KY,www.kysu.edu,apps.kysu.edu/netprice/2013/npcalc.htm,0,3,Public,32,1,0,0,0,0,0,0,0,0,NULL,350,450,323,448,343,420,400,386,382,16,20,14,20,15,19,NULL,NULL,18,17,17,NULL,860,860,0,0,0,0,0.0359,0,0.0398,0,0.0717,0,0.008,0.008,0.0398,0,0.0199,0.1514,0,0.0757,0.0279,0,0,0,0,0,0,0,0.0677,0.0637,0.0398,0.0199,0,0,0,0,0.008,0.247,0.0757,0,0,2131,0.1985,0.618,0.0127,0.0061,0.0019,0.0019,0.0216,0.0033,0.1361,0.1506,1,12299,NULL,10939,12341,16725,17753,17387,NULL,NULL,NULL,NULL,NULL,0.5945,0.5167,NA,0.5,NA,0.679,0.2013,34942,387.9278311,0.428334714,0.159809316,NULL,26600,0.420262665,0,0.3984,0.02863137394679348,-0.02863137394679375,-0.05726274789358723
157100,196500,1965,Kentucky Christian University,Grayson,KY,www.kcu.edu,www.kcu.edu/webform/net-price-calculator-registration,0,3,PrivateNonProfit,32,0,0,0,0,0,0,0,0,0,48,360,510,400,550,340,480,435,475,410,18,24,17,23,17,23,NULL,NULL,21,20,20,NULL,976,976,0,0,0,0,0,0,0,0,0.1389,0,0,0,0,0,0,0.0139,0,0,0,0,0.25,0,0,0.125,0,0,0.0556,0,0.0833,0,0,0,0,0,0.0278,0.1528,0.0833,0.0694,0,547,0.7057,0.117,0.0073,0.0037,0.0037,0.0037,0.0128,0.0073,0.1389,0.0969,1,NULL,19616,NULL,NULL,NULL,NULL,NULL,18738,15731,20615,21926,22843,0.4948,0.5327,NA,NA,NA,0.8049,0.1199,27000,299.75535,0.757575758,0.395101399,NULL,28000,0.459459454,0,0.1528,0.018449905299337075,-0.018449905299337422,-0.0368998105986745
157216,197200,1972,Lindsey Wilson College,Columbia,KY,www.lindsey.edu,portal.lindsey.edu/forms/financialaid/finaidcalc/,0,3,PrivateNonProfit,33,0,0,0,0,0,0,0,0,0,71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,0,0,0,0,0.0762,0,0.0048,0,0.0738,0.0048,0,0,0.0048,0,0.0119,0.0048,0,0.0238,0.0071,0,0,0.019,0.0024,0.0119,0,0,0.0214,0.0881,0.5,0.0024,0,0,0,0,0.0095,0.0381,0.0738,0.0214,0,2127,0.7099,0.0912,0.0094,0.0052,0.0028,0.0009,0.016,0.0019,0.1627,0.0202,1,NULL,15572,NULL,NULL,NULL,NULL,NULL,15176,14843,15294,17043,17914,0.6382,0.5736,NA,0,NA,0.8083,0.2114,19169,212.8151965,0.626373626,0.311134783,NULL,28000,0.42957747,0,0.0786,0.13206065145938434,-0.1320606514593845,-0.26412130291876884
157386,197600,1976,Morehead State University,Morehead,KY,www.moreheadstate.edu,www.moreheadstate.edu/netpricecalculator/,0,3,Public,33,0,0,0,0,0,0,0,0,0,NULL,420,545,455,570,420,540,483,513,480,19,25,19,25,17,24,NULL,NULL,22,22,21,NULL,1028,1028,0.044,0,0,0,0.0301,0,0.0039,0,0.1142,8e-4,0.0347,0.0077,0,0.0046,0.017,0.1404,0,0.0378,0.0154,0,0,0.0478,0.0069,0,0.0177,0,0.027,0,0.0648,0.0432,0,0,0,0,0.0417,0.179,0.108,0.0131,0,7344,0.9074,0.0398,0.011,0.0029,0.0019,0.0008,0.0129,0.0097,0.0136,0.1626,1,10439,NULL,8774,8686,11442,13266,13893,NULL,NULL,NULL,NULL,NULL,0.3825,0.6916,NA,0.2143,NA,0.511,0.1728,24093,267.4816907,0.655566768,0.398563423,NULL,31800,0.475915223,0,0.2893,0.1725203770462885,-0.17252037704628892,-0.3450407540925774
157535,198000,1980,University of Pikeville,Pikeville,KY,www.upike.edu,www.upike.edu/NetPriceCalculator/npcalc.htm,0,3,PrivateNonProfit,33,0,0,0,0,0,0,0,0,0,66,390,500,380,510,NULL,NULL,445,445,NULL,16,22,15,22,16,22,NULL,NULL,19,19,19,NULL,909,909,0,0,0,0,0.0467,0,0.02,0,0.04,0,0,0,0,0,0.0333,0,0,0.1,0.0133,0,0,0,0.0133,0,0.0067,0,0.08,0.12,0.0333,0.0067,0,0,0,0,0.0067,0.2067,0.22,0.0533,0,1313,0.821,0.1325,0.0145,0.0046,0.0023,0,0,0.0251,0,0.0236,1,NULL,15084,NULL,NULL,NULL,NULL,NULL,12903,13929,16522,18008,20262,0.4762,0.5217,NA,NA,NA,0.7168,0.0708,19500,216.489975,0.680589681,0.295790287,NULL,30400,0.537993908,0,0.3467,-0.07518238456839348,0.0777748805879934,0.15295726515638686
157951,200200,2002,Western Kentucky University,Bowling Green,KY,www.wku.edu,www.wku.edu/financialaid/calculator.php,0,3,Public,13,0,0,0,0,0,0,0,0,0,NULL,410,580,420,570,NULL,NULL,495,495,NULL,18,25,18,26,17,24,NULL,NULL,22,22,21,NULL,1009,1009,0.0254,0,0.0034,0,0.0724,0,0.0193,0,0.1069,0.0216,0.0179,0.0057,0.0098,0.0051,0.022,0.1069,0,0.0375,0.0129,0,0.0027,0.0335,0.002,0,0.0216,0,0.0345,0,0.0203,0.0724,0,0,0,0,0.0429,0.1336,0.1535,0.0162,0,15780,0.7701,0.1123,0.0234,0.0093,0.0027,0.001,0.0192,0.0506,0.0113,0.1613,1,10470,NULL,10350,13099,13643,14562,NULL,NULL,NULL,NULL,NULL,NULL,0.3934,0.7178,NA,0.4615,NA,0.5413,0.1818,24431,271.2341836,0.663945961,0.432884065,NULL,34600,0.541184962,0,0.2644,-0.03550187359757647,0.03672607613542364,0.07222794973300012
158802,200400,2004,Dillard University,New Orleans,LA,www.dillard.edu,www.dillard.edu/index.php?option=com_content&view=article&id=268&Itemid=202.,0,3,PrivateNonProfit,11,1,0,0,0,0,0,0,0,0,71,400,470,370,480,NULL,NULL,435,425,NULL,17,20,16,21,16,19,NULL,NULL,19,19,18,NULL,884,884,0,0,0,0,0.102,0,0.0068,0,0,0,0,0,0,0,0.0204,0,0,0.0884,0.0204,0,0,0,0,0,0.0748,0,0.0884,0,0,0.1497,0,0,0,0,0.0884,0.1905,0.1565,0.0136,0,1183,0.0025,0.8994,0.0059,0.0017,0,0,0.0059,0.049,0.0355,0.0465,1,NULL,16233,NULL,NULL,NULL,NULL,NULL,15295,16900,16975,19239,21493,0.7682,0.5918,NA,0.125,NA,0.8707,0.0904,32925,365.5349963,0.587057011,0.374656709,NULL,34000,0.489247322,0,0.3809,0.08233302565442768,-0.08233302565442731,-0.16466605130885498
159009,200600,2006,Grambling State University,Grambling,LA,www.gram.edu,www.gram.edu/NetPrice/,0,3,Public,32,1,0,0,0,0,0,0,0,0,NULL,380,480,360,440,NULL,NULL,430,400,NULL,16,20,15,20,16,19,NULL,NULL,18,18,18,NULL,863,863,0,0,0,0,0.0649,0,0.0392,0,0.0541,0,0.0311,0.0014,0.0203,0.0162,0.0122,0,0,0.0662,0.0068,0,0,0.0297,0,0,0.0095,0,0.0459,0.2014,0.0568,0.0176,0,0,0,0,0.023,0.1054,0.1851,0.0135,0,4100,0.0124,0.911,0.0105,0.0022,0.0027,0.0005,0.012,0.0483,0.0005,0.0593,1,14501,NULL,13814,14125,16416,18847,17456,NULL,NULL,NULL,NULL,NULL,0.7346,0.689,NA,0.8,NA,0.8446,0.173,38172.5,423.7930036,0.351401869,0.313493139,NULL,28300,0.388888896,0,0.2582,0.06049593931681357,-0.060495939316813636,-0.1209918786336272
159373,201400,2014,Louisiana State University Health Sciences Center-New Orleans,New Orleans,LA,www.lsuhsc.edu/,www.lsuhsc.edu/,0,3,Public,11,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,915,0.7454,0.1333,0.0437,0.0678,0.0033,0,0,0.0033,0.0033,0.3454,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2239,NA,NA,NA,NA,0.5177,0.3552,16229,180.1751695,0.965333333,NULL,NULL,61100,0.936813176,1,1,0.14604288300210572,-0.14604288300210577,-0.2920857660042115
159382,201100,2011,Louisiana State University-Alexandria,Alexandria,LA,www.lsua.edu,lsws1.lsua.edu/main/NetCostCalculator.aspx,0,3,Public,41,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,22,19,23,17,22,NULL,NULL,20,21,20,NULL,950,950,0,0,0,0,0.0227,0,0,0,0.0552,0,0,0,0.0097,0,0.026,0.2565,0,0.026,0.0097,0,0,0,0,0,0,0,0.0844,0.0779,0,0,0,0,0,0,0,0.2695,0.1201,0.0422,0,1984,0.7525,0.1522,0.0383,0.0126,0.0141,0,0.0247,0.002,0.0035,0.371,1,11047,NULL,11579,8945,9157,13064,12863,NULL,NULL,NULL,NULL,NULL,0.4093,0.5357,NA,0.2778,NA,0.371,0.3451,17750,197.0613875,0.649621212,0.1296032,NULL,30500,0.520727992,0,0.3052,-0.10681064993864806,0.10681064993864779,0.21362129987729583
159966,200500,2005,Nicholls State University,Thibodaux,LA,www.nicholls.edu,www.nicholls.edu/apps/ir/net-price-calculator/,0,3,Public,13,0,0,0,0,0,0,0,0,0,NULL,437,537,482,607,392,520,487,545,456,20,24,18,24,20,25,NULL,NULL,22,21,23,NULL,1030,1030,0,0,0,0,0.024,0,9e-4,0.0573,0.0864,0,0.0915,0,0.0582,0,0.0163,0.2121,0,0.0325,9e-4,0,0,0,0,0,0.0034,0,0.0222,0,0,0.0214,0,0,0,0,0.0274,0.1497,0.1728,0.0231,0,5682,0.6765,0.2054,0.0301,0.0128,0.0176,0.0007,0.0266,0.0162,0.0141,0.1716,1,9660,NULL,7770,8329,11467,12957,12194,NULL,NULL,NULL,NULL,NULL,0.3935,0.6812,NA,0.5321,NA,0.4958,0.1741,21888.5,243.0072214,0.754847645,0.403567551,NULL,35000,0.585460603,0,0.2789,0.3137248145455906,-0.3137248145455904,-0.6274496290911811
160038,202100,2021,Northwestern State University of Louisiana,Natchitoches,LA,www.nsula.edu/,www.collegeportraits.org/LA/NSUL/estimator/agree,0,3,Public,33,0,0,0,0,0,0,0,0,0,NULL,430,518,443,550,NULL,NULL,474,497,NULL,19,24,20,25,17,23,NULL,NULL,22,23,20,NULL,1007,1007,0,0,0,0,0.011,0,0.0138,0,0.0481,0,0.0165,0,0.0378,0,0.0069,0.2029,0,0.044,0.0041,0,0.0034,0.0172,0,0,0,0,0.0633,0.0543,0.0275,0.0014,0,0,0,0,0.0289,0.2971,0.1052,0.0165,0,7026,0.564,0.2919,0.0454,0.006,0.0115,0.0009,0.0312,0.0091,0.04,0.2898,1,8224,NULL,6605,8140,9991,10845,11032,NULL,NULL,NULL,NULL,NULL,0.4023,0.7182,NA,0.4464,NA,0.4878,0.298,23500,260.898175,0.663954944,0.361193666,NULL,35000,0.536226094,0,0.3755,-0.15542326988437213,0.15542326988437227,0.31084653976874443
160621,202500,2025,Southern University and A & M College,Baton Rouge,LA,www.subr.edu,web.subr.edu/index.php?id=1802,0,3,Public,12,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,400,520,NULL,NULL,NULL,460,NULL,17,20,16,21,16,20,NULL,NULL,19,19,18,NULL,890,890,0.0176,0.0012,0.0047,0,0.0457,0,0.0316,0,0.0222,0.0773,0.0082,0.0047,0.0632,0,0.0094,0,0,0.034,0.0035,0,0.0234,0,0,0,0.0117,0,0.0738,0.0855,0.0281,0.0656,0,0,0,0,0.0129,0.2131,0.1464,0.0164,0,5666,0.0265,0.9453,0.0088,0.003,0.0009,0.0005,0.0088,0.0035,0.0026,0.1701,1,14241,NULL,14078,15733,15602,15524,16428,NULL,NULL,NULL,NULL,NULL,0.6277,0.6743,NA,0.3947,NA,0.7496,0.2029,32075,356.0982538,0.500160308,0.297288418,NULL,31600,0.482544243,0,0.3794,0.035861179736004736,-0.03709777214069437,-0.0729589518766991
160630,202600,2026,Southern University at New Orleans,New Orleans,LA,www.suno.edu,www.suno.edu/Financial_Aid/Net_Price_Calculator/npcalc.htm,0,3,Public,11,1,0,0,0,0,0,0,0,0,NULL,420,650,420,640,380,610,535,530,495,15,18,14,20,15,19,NULL,NULL,17,17,17,NULL,808,808,0,0,0,0,0,0,0,0,0.0342,0,0,0,0.0484,0,0.0085,0.0427,0,0.0684,0.0057,0,0,0,0,0,0,0,0.0912,0.1453,0.1937,0.0228,0,0,0,0,0,0.1311,0.1852,0.0228,0,1782,0.0185,0.8328,0.0073,0.0056,0.0017,0,0,0,0.1341,0.3148,1,8474,NULL,8474,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6273,0.5233,NA,0.5152,NA,0.6803,0.5644,27269,302.7418015,0.368698269,0.136963043,NULL,29000,0.392473131,0,0.2052,0.07815145099637548,-0.08084632861694013,-0.15899777961331563
160755,202900,2029,Tulane University of Louisiana,New Orleans,LA,tulane.edu,tulane.studentaidcalculator.com,0,3,PrivateNonProfit,11,0,0,0,0,0,0,0,0,0,NULL,620,700,620,700,630,720,660,660,675,29,32,29,34,27,32,NULL,NULL,31,32,30,NULL,1341,1341,0,0.0166,0.0308,0.0097,0.032,0,0.0383,0,0.0086,0.0377,0,0.0268,0,0.0263,0.0366,0.0057,0,0.0914,0.0154,0,6e-4,0,0.02,0,0.0114,0,0.0594,0.012,0,0.177,0,0,0,0,0.036,0.048,0.2222,0.0377,0,8290,0.718,0.0901,0.0585,0.0364,0.0039,0.0008,0.0293,0.0303,0.0327,0.2175,1,NULL,32220,NULL,NULL,NULL,NULL,NULL,22003,20601,28637,32562,38847,0.1617,0.9049,NA,NA,NA,0.3702,0.1571,27000,299.75535,0.81779661,0.75716069,NULL,52400,0.749194086,1,0.2422,0.034712996452371164,-0.03590999633003918,-0.07062299278241035
160959,1138500,11385,College of the Atlantic,Bar Harbor,ME,www.coa.edu,coa.studentaidcalculator.com,0,3,PrivateNonProfit,33,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0.7022,0.014,0.0506,0.0197,0.0056,0,0.0253,0.1573,0.0253,0.0337,1,NULL,21972,NULL,NULL,NULL,NULL,NULL,15061,15211,22629,28053,33095,0.3006,0.8056,NA,NA,NA,0.5421,0.0387,19000,210.93895,0.952755906,0.668785987,NULL,27000,0.333333343,0,0,0.13108923953666232,-0.1310892395366623,-0.2621784790733246
160977,203600,2036,Bates College,Lewiston,ME,www.bates.edu/,npc.collegeboard.org/student/app/bates,0,3,PrivateNonProfit,13,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,0,0.0688,0,0.0298,0,0,0,0,0,0.0046,0,0.039,0,0,0.0894,0,0,0.1514,0.0367,0,0.0206,0,0.0252,0,0.0528,0,0.1216,0,0,0.2087,0,0,0,0,0.0619,0,0,0.0894,0,1791,0.7219,0.0514,0.0625,0.0469,0.0034,0.0006,0.0396,0.0648,0.0089,0,1,NULL,24936,NULL,NULL,NULL,NULL,NULL,14332,7196,13749,26267,37061,0.1112,0.9163,NA,NA,NA,0.255,0.0034,17058,189.3787689,0.991189427,0.905692069,NULL,53500,0.751173735,1,0.2455,0.16384663075172004,-0.17554996151969976,-0.33939659227141983
161004,203800,2038,Bowdoin College,Brunswick,ME,www.bowdoin.edu/,bowdoin.studentaidcalculator.com/survey.aspx,0,3,PrivateNonProfit,31,0,0,0,0,0,0,0,0,0,NULL,680,760,680,750,690,770,720,715,730,30,33,31,34,29,34,8,10,32,33,32,9,1423,1423,0,0,0,0.059,0,0,0.0349,0,0,0,0,0.048,0,0,0.0699,0,0,0.1507,0.0459,0,0.0022,0,0.0284,0,0.0415,0,0.0393,0,0,0.3603,0,0,0,0,0.0568,0,0,0.0633,0,1789,0.6417,0.047,0.1247,0.0699,0.0011,0.0006,0.062,0.047,0.0061,0.0006,1,NULL,18613,NULL,NULL,NULL,NULL,NULL,4754,8906,10965,20562,33007,0.1376,0.9654,NA,NA,NA,0.1963,0.0028,19500,216.489975,0.974683544,0.943088936,NULL,54800,0.76279068,1,0.273,-0.05668010466279385,0.06072868356727949,0.11740878823007334
161086,203900,2039,Colby College,Waterville,ME,www.colby.edu,www.colby.edu/admissions_cs/financial_aid/npc.cfm,0,3,PrivateNonProfit,33,0,0,0,0,0,0,0,0,0,NULL,620,710,640,720,620,720,665,680,670,28,32,28,34,27,32,NULL,NULL,30,31,30,NULL,1343,1343,0,0.0529,0,0.0647,0,0,0.0157,0,0,0,0,0.0275,0,0,0.0824,0,0,0.1059,0.0549,0,0.1176,0,0.0333,0,0.0667,0,0.0667,0,0,0.2176,0,0,0,0,0.0431,0,0,0.051,0,1820,0.5967,0.033,0.0626,0.0544,0.0005,0,0.0478,0.0841,0.1209,0,1,NULL,23428,NULL,NULL,NULL,NULL,NULL,4903,9010,18314,18795,40456,0.1079,0.931,NA,NA,NA,0.205,5e-4,19461,216.0569951,0.962585034,0.914057006,NULL,53000,0.693548381,1,0.24319999999999997,-0.12843251950064988,0.12843251950065052,0.2568650390013004
161217,676000,6760,University of Maine at Augusta,Augusta,ME,www.uma.edu/,www.uma.edu/netpricecalculator.html,0,3,Public,32,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,0,0,0.0102,0,0,0,0.0218,0,0,0,0,0,0.0116,0,0.0058,0.2134,0.0522,0.0145,0,0,0.0029,0,0,0,0,0,0,0.0479,0.0102,0.0029,0,0,0,0,0.016,0.4673,0.1234,0,0,4306,0.8579,0.0139,0.0121,0.0042,0.019,0.0014,0.019,0.0037,0.0687,0.6013,1,10256,NULL,9046,10103,12780,13885,13927,NULL,NULL,NULL,NULL,NULL,0.5671,0.5294,NA,0.4242,NA,0.6228,0.6568,21335.5,236.8677878,0.572175312,0.127994093,NULL,26400,0.444372565,0,0.5036,-0.0719593875167024,0.07444074570693339,0.1464001332236358
161226,204000,2040,University of Maine at Farmington,Farmington,ME,www.umf.maine.edu,www.umf.maine.edu/admission/umf-net-price-calculator/,0,3,Public,33,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,NULL,0,0.0102,0,0,0,0,0.0152,0,0.3959,0,0,0,0,0,0.0736,0.0228,0,0.0178,0.0102,0,0.0457,0,0.0102,0,0.0127,0,0.0863,0,0,0.0431,0,0,0,0,0.0406,0.1548,0.0406,0.0203,0,1858,0.8439,0.014,0.0183,0.0075,0.0054,0.0005,0.0253,0.0022,0.0829,0.0457,1,14764,NULL,11305,12370,15186,18515,20189,NULL,NULL,NULL,NULL,NULL,0.4601,0.7109,NA,0,NA,0.7717,0.0684,27000,299.75535,0.859078591,0.564623434,NULL,33200,0.545235217,0,0.2107,-0.07597648579482377,0.0785963646153346,0.1545728504101584
161235,204100,2041,University of Maine at Fort Kent,Fort Kent,ME,www.umfk.maine.edu,www.umfk.maine.edu/admissions/financial_aid/,0,3,Public,43,0,0,0,0,0,0,0,0,0,NULL,400,500,410,500,400,500,450,455,450,18,27,16,24,18,25,NULL,NULL,23,20,22,NULL,908,908,0,0.0649,0,0,0,0,0.0325,0,0.1364,0,0,0,0,0,0.0065,0.0325,0,0.013,0,0,0,0,0,0,0,0,0,0.1104,0,0.0584,0,0,0,0,0,0.4286,0.1169,0,0,913,0.793,0.023,0.0131,0.0044,0.012,0.0011,0.0164,0.0997,0.0372,0.3505,1,12695,NULL,10963,10611,13857,15746,17114,NULL,NULL,NULL,NULL,NULL,0.3216,0.5918,NA,0,NA,0.4269,0.4078,19973,221.7412447,0.764119601,0.429199115,NULL,31200,0.563706577,0,0.47409999999999997,-0.054831924753109766,0.05672268077907886,0.11155460553218863
161244,205500,2055,University of Maine at Machias,Machias,ME,machias.edu,machias.edu/calculator.html,0,3,Public,43,0,0,0,0,0,0,0,0,0,NULL,410,530,410,520,390,510,470,465,450,18,25,17,24,17,27,NULL,NULL,22,21,22,NULL,937,937,0,0.037,0,0,0,0,0,0,0.1605,0,0,0,0,0,0.0494,0.0864,0,0.1852,0,0,0.0123,0.1358,0,0,0,0,0.1481,0,0,0.0123,0,0,0,0,0.0247,0,0.1111,0.037,0,596,0.8121,0.0369,0.0369,0.0034,0.0218,0,0.0252,0.0117,0.052,0.2701,1,9133,NULL,7107,8926,10485,13160,14087,NULL,NULL,NULL,NULL,NULL,0.4086,0.6585,NA,0.6667,NA,0.4357,0.4081,21250,235.9185625,0.681481481,0.306210526,NULL,27000,0.402234644,0,0.1852,-0.15827181782556968,0.16372946671610675,0.3220012845416764
